Epoch,Architecture,Time,msPerStep,Loss,TrainAccuracy,ValidationLoss,ValidationAccuracy,Config
10,DenseNet121,267,605,1.6492,0.5356,6.2716,0.0953,GeForce
1,ResNet50,7558,1700,3.8031,0.0919,11.2635,0.0392,i9
2,ResNet50,6858,1600,3.2349,0.1680,5.8949,0.0222,i9
3,ResNet50,7090,1600,2.8824,0.2462,6.1500,0.0431,i9
4,ResNet50,7296,1700,2.6638,0.2952,4.5208,0.0111,i9
1,ResNet101,337,764,3.9228,0.0669,5.5785,0.0124,GeForce
2,ResNet101,330,749,3.5013,0.1104,4.4054,0.0431,GeForce
3,ResNet101,332,752,3.3279,0.1527,6.1655,0.0111,GeForce
4,ResNet101,333,756,3.1570,0.1770,6.7079,0.0111,GeForce
5,ResNet101,333,754,3.0187,0.2106,8.5220,0.0222,GeForce
6,ResNet101,335,760,2.9100,0.2337,10.8267,0.0222,GeForce
7,ResNet101,343,778,2.8067,0.2596,4.8813,0.0431,GeForce
8,ResNet101,335,759,2.6951,0.2845,5.1830,0.0431,GeForce
9,ResNet101,334,758,2.5857,0.3113,22.0464,0.0392,GeForce
10,ResNet101,334,758,2.5019,0.3222,5.9036,0.0457,GeForce
1,InceptionV3,243,551,3.8956,0.0656,4.5514,0.0535,GeForce
2,InceptionV3,232,525,3.6444,0.0899,4.3317,0.1018,GeForce
3,InceptionV3,236,534,3.4646,0.1140,4.2083,0.0744,GeForce
4,InceptionV3,244,553,3.3768,0.1293,3.2169,0.1462,GeForce
5,InceptionV3,246,557,3.3282,0.1411,3.4748,0.1051,GeForce
6,InceptionV3,232,526,3.2623,0.1491,4.3362,0.1103,GeForce
7,InceptionV3,230,521,3.1843,0.1690,4.1002,0.1018,GeForce
8,InceptionV3,235,532,3.0930,0.1881,4.8457,0.0914,GeForce
9,InceptionV3,255,578,3.0235,0.2052,3.7311,0.1123,GeForce
10,InceptionV3,232,527,2.9643,0.2122,3.9222,0.1142,GeForce
1,DenseNet121,285,653,4.2364,0.0376,8.2312,0.0346,AMDRP5754GB
2,DenseNet121,267,605,3.7853,0.0382,7.6979,0.0422,AMDRP5754GB
3,DenseNet121,269,608,3.3545,0.0385,7.4852,0.0437,AMDRP5754GB
4,DenseNet121,263,601,2.9809,0.0397,7.4763,0.0436,AMDRP5754GB
5,DenseNet121,265,603,2.0422,0.0408,9.0632,0.0008,AMDRP5754GB
6,DenseNet121,266,607,1.9104,0.0417,7.2674,0.0567,AMDRP5754GB
7,DenseNet121,265,603,1.8323,0.0422,6.3872,0.0694,AMDRP5754GB
8,DenseNet121,265,603,1.7825,0.0453,6.4322,0.0658,AMDRP5754GB
9,DenseNet121,265,603,1.7011,0.0511,4.3723,0.1484,AMDRP5754GB
10,DenseNet121,263,601,1.6468,0.0548,4.4808,0.1438,AMDRP5754GB
1,DensNet121,1836,4000,2.4794,0.3673,4.1458,0.2369,i7
2,DensNet121,1817,4000,1.6920,0.5310,5.2699,0.2500,i7
3,DensNet121,1819,4000,1.4812,0.5816,3.5619,0.3381,i7
4,DensNet121,1811,4000,1.3386,0.6230,2.8929,0.3949,i7
5,DensNet121,1826,4000,1.3253,0.6254,4.8001,0.2637,i7
6,DensNet121,1813,4000,1.2716,0.6421,3.4077,0.3270,i7
7,DensNet121,1830,4000,1.2533,0.6506,5.2261,0.2546,i7
8,DensNet121,1806,4000,1.1711,0.6711,3.1686,0.3916,i7
9,DensNet121,1809,4000,1.1161,0.6835,4.5844,0.2572,i7
10,DensNet121,1810,4000,1.1037,0.7063,4.5844,0.4273,i7
